GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
2006;3482;GUILLAUME BUDE;7 rue JEAN QUARRE;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.396286013965294, 48.876833797755275]}";48.8768337978, 2.39628601397
2007;3482;VOLTAIRE;101 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.384525451536643, 48.863525567765514]}";48.8635255678, 2.38452545154
2008;3482;JEAN-BAPTISTE POQUELIN;6 rue MOLIERE;1er Ardt;75101;"{""type"": ""Point"", ""coordinates"": [2.335488359834315, 48.864652867508056]}";48.8646528675, 2.33548835983
2009;3482;ALAIN FOURNIER;87 rue LEON FROT;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.383853741179723, 48.85822327431509]}";48.8582232743, 2.38385374118
2010;1810;VICQ D'AZIR (16) POLY;16 rue VICQ D'AZIR;10ème Ardt;75110;"{""type"": ""Point"", ""coordinates"": [2.370558693112824, 48.87606959563746]}";48.8760695956, 2.37055869311
2015;1810;ST ISAURE (18) ELEM;18 rue SAINTE-ISAURE;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.344430153737189, 48.89416202254936]}";48.8941620225, 2.34443015374
2019;1810;ST MAUR (22) ELEM A;22 rue SAINT-MAUR;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.382040686228197, 48.86030901639756]}";48.8603090164, 2.38204068623
2029;1810;JEAN JAURES (160) ELEM;160 avenue JEAN JAURES;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.388022514736719, 48.887289202481746]}";48.8872892025, 2.38802251474
2034;1810;LOUIS DE FUNES(2);2 ALLEE LOUIS DE FUNES;8ème Ardt;75108;"{""type"": ""Point"", ""coordinates"": [2.305876459040179, 48.875907063446505]}";48.8759070634, 2.30587645904
2036;1810;FEDERATION (18) POLY;18 RUE DE LA FEDERATION;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.29108893863061, 48.85453724409595]}";48.8545372441, 2.29108893863
