"","name"
"842","Rue du Sabot"
"843","Rue Guillaume Apollinaire"
"844","Rue Coëtlogon"
"845","Rue de Cicé"
"846","Rue Mayet"
"847","Rue Saint-Jean-Baptiste de la Salle"
"848","Rue Saint-Romain"
"849","Rue Dupin"
"850","Rue Saint-Placide"
"851","Rue Jean Ferrandi"
"852","Rue Littré"
"853","Rue Blaise Desgoffe"
"854","Rue de l'Abbé Grégoire"
"855","Rue de Bérite"
"856","Rue Régis"
"857","Rue Barbet de Jouy"
"858","Rue de Chanaleilles"
"859","Cité Vaneau"
"860","Rue de la Planche"
"861","Rue Oudinot"
"862","Rue Vaneau"
"863","Rue Pierre Leroux"
"864","Rue d'Olivet"
"865","Rue Rousselet"
"866","Avenue Constant Coquelin"
"867","Rue Monsieur"
"868","Rue Velpeau"
"869","Rue du Roule"
"870","Rue du Plat d'Étain"
"871","Rue Berger"
"872","Rue du Pont Neuf"
"873","Rue Sauval"
"874","Rue Vauvilliers"
"875","Rue des Prouvaires"
"876","Rue des Prêcheurs"
"877","Rue des Halles"
"878","Place Sainte-Opportune"
"879","Rue Cuvier"
"880","Rue des Petits Champs"
"881","Rue Radziwill"
"882","Passage de la Cour des Fontaines"
"883","Place de Valois"
"884","Rue des Bons Enfants"
"885","Rue du Colonel Driant"
"886","Rue Jean-Jacques Rousseau"
"887","Rue du Bouloi"
"888","Rue Croix des Petits Champs"
"889","Rue La Vrillière"
"890","Rue Catinat"
"891","Rue Coquillière"
"892","Rue Hérold"
"893","Rue Vivienne"
"894","Rue Colbert"
"895","Rue des Filles Saint-Thomas"
"896","Rue du Mail"
"897","Rue de la Banque"
"898","Rue Notre-Dame des Victoires"
"899","Rue Vide Gousset"
"900","Rue d'Aboukir"
"901","Rue d'Argout"
"902","Rue de la Jussienne"
"903","Rue Mauconseil"
"904","Rue de la Petite-Truanderie"
"905","Rue Pierre Lescot"
"906","Rue du Cygne"
"907","Rue Léopold Bellan"
"908","Rue Bachaumont"
"909","Rue Mandar"
"910","Rue des Petits Carreaux"
"911","Rue Dussoubs"
"912","Rue Marie Stuart"
"913","Rue Tiquetonne"
"914","Rue Française"
"915","Rue des Artistes"
"916","Port Henri IV"
"917","Rue de Longchamp"
"918","Rue Foucault"
"919","Rue de la Manutention"
"920","Rue Boissière"
"921","Rue du Bouquet de Longchamp"
"922","Villa Boissière"
"923","Villa de Longchamp"
"924","Place d'Iéna"
"925","Rue Brignole"
"926","Rue de l'Amiral Hamelin"
"927","Rue Galilée"
"928","Rue de Belloy"
"929","Rue Dumont d'Urville"
"930","Rue La Pérouse"
"931","Place de l'Amiral de Grasse"
"932","Rue de Bassano"
"933","Rue Kepler"
"934","Avenue d'Iéna"
"935","Rue Freycinet"
"936","Avenue Pierre 1er de Serbie"
"937","Rue de Chaillot"
"938","Avenue du Président Wilson"
"939","Rue Gaston de Saint-Paul"
"940","Rue Debrousse"
"941","Rue Léonce Reynaud"
"942","Avenue George V"
"943","Rue Quentin Bauchart"
"944","Rue Euler"
"945","Rue Magellan"
"946","Rue Lincoln"
"947","Impasse du Docteur Jacques Bertillon"
"948","Rue Clément Marot"
"949","Rue du Boccador"
"950","Rue Marbeuf"
"951","Rue Robert Estienne"
