Geo Point;Geo Shape;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y;EDITEUR;EDIT_DATE;TERMINUS
48.8974328495, 2.39504174968;"{""type"": ""Point"", ""coordinates"": [2.395041749682104, 48.897432849464856]}";58499;24398;1109;Ella Fitzgerald;ELLA FITZGERALD;Ella Fitzgerald;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;;T3B;0.0;T3B-1607;3B;TRAMWAY;T3B;5.0;112.0;RATP;0;1;1;655647.1692;6866550.6837;;;0
48.973659013, 2.36605171568;"{""type"": ""Point"", ""coordinates"": [2.366051715676765, 48.97365901297958]}";58640;28850;1123;Butte Pinson;BUTTE PINSON;Butte Pinsons;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;;T5;35.0;T5-1705;5;TRAMWAY;T5;5.0;112.0;RATP;0;1;0;653589.8476;6875043.6652;;;0
48.9448189327, 2.35700635511;"{""type"": ""Point"", ""coordinates"": [2.357006355105467, 48.94481893266474]}";50681;28863;1131;Roger SÃ©mat;ROGER SEMAT;Roger SÃ©mat;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;;T5;35.0;T5-1713;5;TRAMWAY;T5;5.0;112.0;RATP;0;1;0;652901.5526;6871841.9509;;;0
48.8975528099, 2.373383796;"{""type"": ""Point"", ""coordinates"": [2.3733837959986, 48.897552809900425]}";58498;24530;1112;Rosa Parks;ROSA PARKS;Rosa Parks;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;;T3B;0.0;T3B-1609;3B;TRAMWAY;T3B;5.0;112.0;RATP;0;1;1;654059.4436;6866576.4057;;;0
48.9032046155, 2.07297145657;"{""type"": ""Point"", ""coordinates"": [2.072971456565674, 48.903204615452346]}";43200;41188;974;SAINT-GERMAIN-GRANDE-CEINTURE;SAINT-GERMAIN-GRANDE-CEINTURE;SAINT-GERMAIN GRANDE CEINTURE;6033;Train;1;1;0;0;0;0;0;TRAIN_L;TRAIN_L;0;0;0;0;0;A02176;;LIGNE L;30.0;LIGNE L-462;L;TRAIN;LIGNE L;1.0;854.0;SNCF;382804;1;1;632042.8483;6867421.5159;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.4309707241, 2.75317756884;"{""type"": ""Point"", ""coordinates"": [2.753177568842823, 48.430970724114694]}";47136;41381;922;VULAINES-SUR-SEINE-SAMOREAU;VULAINES-SUR-SEINE-SAMOREAU;VULAINES-SUR-SEINE-SAMOREAU;2909;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01845;;LIGNE R;19.0;LIGNE R-57;R;TRAIN;LIGNE R;1.0;851.0;SNCF;682443;1;0;681741.8328;6814549.5884;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.8007184639, 2.17138981276;"{""type"": ""Point"", ""coordinates"": [2.171389812756379, 48.80071846386355]}";46688;41221;916;VIROFLAY R.G;VIROFLAY RIVE GAUCHE;VIROFLAY RIVE GAUCHE;2542;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-73;C;RER;RER C;2.0;803.0;SNCF;382887;1;0;639137.6827;6855946.0349;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.8183876387, 2.29206181457;"{""type"": ""Point"", ""coordinates"": [2.292061814566527, 48.81838763866234]}";43214;41205;872;VANVES-MALAKOFF;VANVES-MALAKOFF;VANVES-MALAKOFF;2751;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01847;;LIGNE N;22.0;LIGNE N-286;N;TRAIN;LIGNE N;1.0;852.0;SNCF;391532;1;0;648018.5282;6857824.359;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.3823580058, 2.81595676708;"{""type"": ""Point"", ""coordinates"": [2.815956767081606, 48.38235800575609]}";47953;41375;824;SAINT-MAMMÃˆS;SAINT-MAMMES;SAINT-MAMMES;2914;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01845;;LIGNE R;19.0;LIGNE R-62;R;TRAIN;LIGNE R;1.0;851.0;SNCF;682294;1;0;686373.1871;6809133.4577;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
49.0910734513, 2.20182348425;"{""type"": ""Point"", ""coordinates"": [2.201823484249898, 49.09107345129168]}";47588;41111;870;VALMONDOIS;VALMONDOIS;VALMONDOIS;3081;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01849;;LIGNE H;20.0;LIGNE H-274;H;TRAIN;LIGNE H;1.0;853.0;SNCF;276535;1;1;641699.3697;6888210.0589;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.9635896849, 2.28593071821;"{""type"": ""Point"", ""coordinates"": [2.285930718208942, 48.96358968487314]}";43201;41095;821;SAINT-GRATIEN;SAINT-GRATIEN;SAINT-GRATIEN;2504;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-224;C;RER;RER C;2.0;803.0;SNCF;276170;1;0;647714.366;6873974.0035;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;0
48.8473083595, 2.43329971764;"{""type"": ""Point"", ""coordinates"": [2.433299717644525, 48.847308359451276]}";43224;412811;913;VINCENNES;VINCENNES;VINCENNES;2414;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01856;;RER A;24.0;RER A-341;A;RER;RER A;2.0;801.0;RATP;758110;1;0;658412.0214;6860956.3445;LUDOVIC.GUILLOT;2018-04-17T02:00:00+02:00;0
48.676092434, 2.38678379703;"{""type"": ""Point"", ""coordinates"": [2.386783797033431, 48.676092433958715]}";43225;41340;917;VIRY-CHÃ‚TILLON;VIRY-CHATILLON;VIRY-CHATILLON;2877;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-152;D;RER;RER D;2.0;804.0;SNCF;681312;1;0;654850.6244;6841945.6583;;;0
48.7066109469, 2.48424514658;"{""type"": ""Point"", ""coordinates"": [2.484245146583624, 48.70661094689584]}";43226;41363;924;YERRES;YERRES;YERRES;2857;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-178;D;RER;RER D;2.0;804.0;SNCF;682112;1;0;662048.4782;6845287.3038;;;0
48.9937771469, 2.41618748893;"{""type"": ""Point"", ""coordinates"": [2.416187488926984, 48.99377714689271]}";43222;41097;909;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL GONESSE ARNOUVILLE;2605;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-256;D;RER;RER D;2.0;804.0;SNCF;276220;1;0;657276.6642;6877252.6;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;0
48.981071911, 2.00593089169;"{""type"": ""Point"", ""coordinates"": [2.005930891685298, 48.98107191097617]}";46926;41162;859;TRIEL-SUR-SEINE;TRIEL-SUR-SEINE;TRIEL-SUR-SEINE;2667;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-123;J;TRAIN;LIGNE J;1.0;854.0;SNCF;381806;1;0;627237.6029;6876139.7455;LUDOVIC.GUILLOT;2018-04-20T02:00:00+02:00;0
49.0067002768, 1.91923711175;"{""type"": ""Point"", ""coordinates"": [1.919237111750073, 49.00670027684255]}";46902;41164;854;THUN-LE-PARADIS;THUN-LE-PARADIS;THUN LE PARADIS;2669;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-121;J;TRAIN;LIGNE J;1.0;854.0;SNCF;381822;1;0;620931.3088;6879072.9559;LUDOVIC.GUILLOT;2018-04-20T02:00:00+02:00;0
48.7684217766, 1.51333305235;"{""type"": ""Point"", ""coordinates"": [1.513333052350337, 48.76842177662328]}";411495;411494;1048;MARCHEZAIS BROUE;MARCHEZAIS BROUE;MARCHEZAIS BROUE;0;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01847;;LIGNE N;22.0;LIGNE N-497;N;TRAIN;LIGNE N;1.0;852.0;SNCF;0;0;0;590739.5412;6853064.277;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.9056221191, 2.28351732969;"{""type"": ""Point"", ""coordinates"": [2.283517329687793, 48.905622119144574]}";43069;41138;1014;ASNIÃˆRES;ASNIERES;ASNIÃˆRES;2653;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A02176;;LIGNE L;30.0;LIGNE L-394;L;TRAIN;LIGNE L;1.0;854.0;SNCF;381137;1;0;647479.1677;6867529.706;LUDOVIC.GUILLOT;2018-04-20T02:00:00+02:00;0
49.0794702331, 2.35083083357;"{""type"": ""Point"", ""coordinates"": [2.350830833570062, 49.07947023308298]}";47522;41078;895;VILLAINES;VILLAINES;VILLAINES;3060;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01849;;LIGNE H;20.0;LIGNE H-263;H;TRAIN;LIGNE H;1.0;853.0;SNCF;272021;1;0;652572.3231;6886819.8579;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.7748028098, 2.00656686906;"{""type"": ""Point"", ""coordinates"": [2.006566869057667, 48.77480280977951]}";43209;41250;925;TRAPPES;TRAPPES;TRAPPES;2828;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01855;;LIGNE U;21.0;LIGNE U-81;U;TRAIN;LIGNE U;1.0;855.0;SNCF;393835;1;0;626995.5928;6853204.424;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
49.0996501217, 1.97053572369;"{""type"": ""Point"", ""coordinates"": [1.970535723690954, 49.09965012172013]}";47922;41142;865;US;US;US;2685;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-282;J;TRAIN;LIGNE J;1.0;854.0;SNCF;381178;1;0;624818.8706;6889359.3826;LUDOVIC.GUILLOT;2018-04-20T02:00:00+02:00;0
48.1376108053, 3.28974196062;"{""type"": ""Point"", ""coordinates"": [3.289741960615086, 48.13761080528375]}";411455;411454;1041;ETIGNY-VERON;ETIGNY-VERON;ETIGNY VERON;0;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-490;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0;0;0;721552.675;6781955.5177;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;0
47.9734303157, 3.39286472634;"{""type"": ""Point"", ""coordinates"": [3.39286472633588, 47.97343031566925]}";411467;411466;1045;JOIGNY;JOIGNY;JOIGNY;0;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-494;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0;0;0;729314.2583;6763744.1589;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;0
49.1795049508, 3.12061291667;"{""type"": ""Point"", ""coordinates"": [3.120612916673505, 49.17950495083331]}";411372;411371;1067;FERTE-MILON;FERTE-MILON;LA FERTE MILON;0;Train;1;1;0;0;0;0;0;TRAIN_P;TRAIN_P;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-515;P;TRAIN;LIGNE P;1.0;850.0;SNCF;0;0;0;708794.9649;6897757.8458;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
49.1354741446, 3.07562656432;"{""type"": ""Point"", ""coordinates"": [3.075626564318928, 49.13547414464918]}";411375;411374;1068;MAREUIL-SUR-OURCQ;MAREUIL-SUR-OURCQ;MAREUIL-SUR-OURCQ;0;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-516;P;TRAIN;LIGNE P;1.0;850.0;SNCF;0;0;0;705519.3;6892856.3682;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
49.1873335365, 2.45952008111;"{""type"": ""Point"", ""coordinates"": [2.459520081112193, 49.1873335365493]}";411428;411427;1052;CHANTILLY-GOUVIEUX;CHANTILLY-GOUVIEUX;CHANTILLY GOUVIEUX;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-501;D;RER;RER D;2.0;804.0;SNCF;0;0;0;660595.0349;6898756.759;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;0
49.2852635241, 1.78506622348;"{""type"": ""Point"", ""coordinates"": [1.785066223482808, 49.28526352406543]}";59301;411340;1058;GISORS;GISORS;GISORS;0;Train;1;1;0;0;0;0;0;TRAIN_J;TRAIN_J;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-506;J;TRAIN;LIGNE J;1.0;854.0;SNCF;0;0;0;611592.7867;6910195.3412;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.1472180399, 2.7627283872;"{""type"": ""Point"", ""coordinates"": [2.762728387199195, 48.14721803991317]}";58955;41394;1049;DORDIVES;DORDIVES;DORDIVES;0;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01845;;LIGNE R;19.0;LIGNE R-498;R;TRAIN;LIGNE R;1.0;851.0;SNCF;0;0;0;682353.5667;6783010.1637;LUDOVIC.GUILLOT;2018-04-19T02:00:00+02:00;0
48.9436300067, 2.41147348701;"{""type"": ""Point"", ""coordinates"": [2.41147348701014, 48.94363000666017]}";0;0;1206;Gare de Dugny - La Courneuve;GARE DE DUGNY - LA COURNEUVE;Gare de Dugny - La Courneuve;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02225;C01999;T11;0.0;T11-522;11;TRAMWAY;T11;0.0;0.0;SNCF;0;1;0;656890.1364;6871678.6295;;;0
48.8966738112, 2.37412297553;"{""type"": ""Point"", ""coordinates"": [2.37412297552969, 48.89667381116845]}";58498;420316;1196;ROSA PARKS;ROSA PARKS;ROSA PARKS;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-1609;E;RER;RER E;2.0;805.0;SNCF;0;1;1;654112.8609;6866478.2351;;;0
48.8107464886, 2.30167855546;"{""type"": ""Point"", ""coordinates"": [2.301678555458344, 48.81074648857956]}";42588;22237;171;ChÃ¢tillon-Montrouge;CHATILLON-MONTROUGE;ChÃ¢tillon-Montrouge;2327;Metro;0;0;0;1;0;0;0;0;0;0;M13;0;0;0;A01546;;13;5.0;13-114033;13;METRO;M13;3.0;110.0;RATP;899926;1;0;648717.1202;6856968.4786;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.8575563594, 2.34830889513;"{""type"": ""Point"", ""coordinates"": [2.348308895125139, 48.857556359369646]}";42587;21966;165;ChÃ¢telet;CHATELET;ChÃ¢telet;2286;Metro;0;0;0;1;0;0;0;0;0;0;M11;0;0;0;A01544;;11;3.0;11-111057;11;METRO;M11;3.0;110.0;RATP;0;1;0;652184.4051;6862143.9475;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.9163823099, 2.2946851117;"{""type"": ""Point"", ""coordinates"": [2.294685111702555, 48.9163823099221]}";43042;22234;297;Gabriel PÃ©ri-AsniÃ¨res-Gennevilliers;GABRIEL PERI-ASNIERES-GENNEVILLIERS;Gabriel PÃ©ri;2348;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-113075;13;METRO;M13;3.0;110.0;RATP;0;1;0;648308.4732;6868718.8268;;;0
48.8698082202, 2.30747079345;"{""type"": ""Point"", ""coordinates"": [2.30747079344783, 48.86980822019896]}";43026;22082;293;Franklin D.Roosevelt;FRANKLIN-D.ROOSEVELT;Franklin-D.Roosevelt;2008;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;;1;1.0;1-109049;1;METRO;M1;3.0;110.0;RATP;0;1;0;649200.0725;6863531.7539;;;0
48.8948364684, 2.38252234342;"{""type"": ""Point"", ""coordinates"": [2.382522343415364, 48.89483646840174]}";45598;22389;209;Corentin-Cariou;CORENTIN CARIOU;Corentin Cariou;2184;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107033;7;METRO;M7;3.0;110.0;RATP;0;1;0;654727.0632;6866269.0824;;;0
48.8724249145, 2.35604490767;"{""type"": ""Point"", ""coordinates"": [2.356044907672176, 48.872424914488995]}";42579;22153;159;ChÃ¢teau d'Eau;CHATEAU D'EAU;ChÃ¢teau d'Eau;2082;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104043;4;METRO;M4;3.0;110.0;RATP;0;1;0;652765.4788;6863792.5575;;;0
48.8574200375, 2.3681082907;"{""type"": ""Point"", ""coordinates"": [2.368108290701383, 48.85742003754715]}";45097;22202;180;Chemin Vert;CHEMIN VERT;Chemin Vert;2206;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108057;8;METRO;M8;3.0;110.0;RATP;0;1;0;653636.9649;6862116.9823;;;0
48.8349477223, 2.36812632906;"{""type"": ""Point"", ""coordinates"": [2.368126329061812, 48.83494772234805]}";45267;22174;183;Chevaleret;CHEVALERET;Chevaleret;2130;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106045;6;METRO;M6;3.0;110.0;RATP;0;1;0;653618.2928;6859618.2657;;;0
48.8661671149, 2.32317568086;"{""type"": ""Point"", ""coordinates"": [2.323175680856619, 48.866167114949185]}";45676;22057;200;Concorde;CONCORDE;Concorde;2311;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-101061;12;METRO;M12;3.0;110.0;RATP;0;1;0;650348.5931;6863116.9028;;;0
48.8662858046, 2.32294341224;"{""type"": ""Point"", ""coordinates"": [2.322943412243542, 48.866285804583875]}";45676;22085;199;Concorde;CONCORDE;Concorde;2010;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101061;1;METRO;M1;3.0;110.0;RATP;0;1;0;650331.6676;6863130.2462;;;0
48.8651634349, 2.39874659344;"{""type"": ""Point"", ""coordinates"": [2.398746593442592, 48.86516343488148]}";43055;21945;302;Gambetta;GAMBETTA;Gambetta;2359;Metro;0;0;0;1;0;0;0;0;0;0;M3bis;0;0;0;A01549;;3b;9.0;3b-103037;3b;METRO;M3bis;3.0;110.0;RATP;0;1;0;655891.4641;6862960.4349;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.8423274377, 2.32098483563;"{""type"": ""Point"", ""coordinates"": [2.320984835629298, 48.84232743773422]}";43238;22157;563;Montparnasse-BienvenÃ_e;MONTPARNASSE;Montparnasse BienvenÃ_e;2334;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-285;13;METRO;M13;3.0;110.0;RATP;0;1;1;650165.0831;6860467.533;;;0
48.8437354893, 2.32435304116;"{""type"": ""Point"", ""coordinates"": [2.324353041157966, 48.84373548931853]}";43238;22038;562;Montparnasse BienvenÃ_e;MONTPARNASSE;Montparnasse BienvenÃ_e;2318;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-285;12;METRO;M12;3.0;110.0;RATP;0;1;1;650413.6192;6860621.9732;;;0
48.863257945, 2.36666109472;"{""type"": ""Point"", ""coordinates"": [2.366661094716491, 48.8632579449661]}";58727;22200;283;Filles du Calvaire;FILLES DU CALVAIRE;Filles du Calvaire;2208;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108053;8;METRO;M8;3.0;110.0;RATP;0;1;0;653535.9904;6862766.9605;;;0
48.8928288534, 2.3274284585;"{""type"": ""Point"", ""coordinates"": [2.327428458503176, 48.89282885338917]}";43333;22228;342;Guy MÃ´quet;GUY MOQUET;Guy MÃ´quet;2349;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114069;13;METRO;M13;3.0;110.0;RATP;0;1;0;650685.8186;6866078.8433;;;0
48.8444701413, 2.31785278304;"{""type"": ""Point"", ""coordinates"": [2.317852783041332, 48.84447014129586]}";42981;22056;280;FalguiÃ¨re;FALGUIERE;FalguiÃ¨re;2319;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112045;12;METRO;M12;3.0;110.0;RATP;0;1;0;649937.2765;6860707.7605;;;0
48.8761263529, 2.35804750536;"{""type"": ""Point"", ""coordinates"": [2.358047505360747, 48.8761263529489]}";43138;22013;314;Gare de l'Est;GARE DE L'EST;Gare de l'Est;2112;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;;5;11.0;5-327;5;METRO;M5;3.0;110.0;RATP;0;1;1;652915.7135;6864202.9359;;;0
48.8828919175, 2.30905226455;"{""type"": ""Point"", ""coordinates"": [2.309052264550479, 48.88289191745413]}";59370;22031;506;Malesherbes;MALESHERBES;Malesherbes;2056;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103069;3;METRO;M3;3.0;110.0;RATP;0;1;0;649328.8075;6864985.5498;;;0
48.8429386959, 2.26003290221;"{""type"": ""Point"", ""coordinates"": [2.260032902212424, 48.84293869586254]}";42977;21930;278;Exelmans;EXELMANS;Exelmans;2258;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109029;9;METRO;M9;3.0;110.0;RATP;0;1;0;645692.4042;6860575.6926;;;0
48.8787703685, 2.32226521312;"{""type"": ""Point"", ""coordinates"": [2.322265213118896, 48.87877036848683]}";42972;22032;275;Europe;EUROPE;Europe;2058;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103065;3;METRO;M3;3.0;110.0;RATP;0;1;0;650293.8318;6864518.8631;;;0
48.9593181442, 2.34205380139;"{""type"": ""Point"", ""coordinates"": [2.342053801387074, 48.959318144169146]}";59332;42129;1187;Villetaneuse-UniversitÃ©;VILLETANEUSE-UNIVERSITE;Villetaneuse-UniversitÃ©;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;T8;0;0;A02150;C01795;T8;0.0;T8-117065;8;TRAMWAY;T8;0.0;0.0;RATP;0;1;0;651819.7574;6873463.2983;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
